Date,Sales
2018-01-01,1349.3428306022465
2018-02-01,1461.6978698269963
2018-03-01,1742.2137639581667
2018-04-01,1906.6327576808667
2018-05-01,1428.5214377313891
2018-06-01,1234.8627494552343
2018-07-01,1403.870732115563
2018-08-01,1114.8404411214613
2018-09-01,856.8093481651222
2018-10-01,1182.5415603461006
2018-11-01,1220.6967431276482
2018-12-01,1526.5723591451033
2019-01-01,1974.448792341376
2019-02-01,1782.7510191578428
2019-03-01,1943.7488278635906
2019-04-01,2165.625618579236
2019-05-01,1948.8422266373404
2019-06-01,2020.5959453922942
2019-07-01,1582.4796919380117
2019-08-01,1354.94909305199
2019-09-01,1919.8903171645927
2019-10-01,1704.9306295597694
2019-11-01,2002.9422606558944
2019-12-01,2010.8250106446328
2020-01-01,2493.236131151302
2020-02-01,2863.647924059545
2020-03-01,2734.5900169099054
2020-04-01,3029.279066124734
2020-05-01,2707.3370507486334
2020-06-01,2575.4640669427536
2020-07-01,2319.799522624543
2020-08-01,2683.921808249005
2020-09-01,2300.1174564608637
2020-10-01,2214.6000418940653
2020-11-01,2830.001940167117
2020-12-01,2727.6622559212888
2021-01-01,3319.941733085458
2021-02-01,3125.5857193697857
2021-03-01,3375.207860642849
2021-04-01,3669.5680476575935
2021-05-01,3651.214442759646
2021-06-01,3344.1328111675716
2021-07-01,3093.0675266209437
2021-08-01,2929.3017702575294
2021-09-01,2683.168841363134
2021-10-01,2958.229724034473
2021-11-01,3249.42154158269
2021-12-01,3859.3117691874454
2022-01-01,4022.949010026369
2022-02-01,3840.9680511013626
2022-03-01,4381.718202329664
2022-04-01,4229.235682428674
2022-05-01,4044.1930647275403
2022-06-01,4108.250750725921
2022-07-01,3998.4534256259512
2022-08-01,3851.8348712267953
2022-09-01,3487.086072820261
2022-10-01,3716.412428571341
2022-11-01,4083.85832008353
2022-12-01,4519.052687396303
2023-01-01,4534.446842571787
2023-02-01,4832.500624869315
2023-03-01,4771.690751677668
2023-04-01,4743.067151723973
2023-05-01,5018.138967295741
2023-06-01,4933.219836700081
2023-07-01,4453.907834838863
2023-08-01,4542.341765010129
2023-09-01,4403.313120502485
2023-10-01,4325.287290848727
2023-11-01,4765.94109293267
2023-12-01,5307.607313293194
